pairing_id,therapist_id,patient_id
1,therapist_gpt_limited,1
2,therapist_gemini_full,1
3,therapist_psych_material,1
4,therapist_char,2
5,therapist_gpt_full,2
6,therapist_psych_material,2
7,therapist_char,3
8,therapist_gemini_harm,3
9,therapist_psych_material,3
10,therapist_gpt_limited,4
11,therapist_gpt_full,4
12,therapist_gemini_harm,4
13,therapist_psych_material,4
14,therapist_char,5
15,therapist_gpt_limited,5
16,therapist_gemini_full,5
17,therapist_psych_material,5
18,therapist_gpt_full,6
19,therapist_gemini_full,6
20,therapist_gemini_harm,6
21,therapist_psych_material,6
22,therapist_char,7
23,therapist_gpt_limited,7
24,therapist_gemini_full,7
25,therapist_psych_material,7
26,therapist_gpt_full,8
27,therapist_gemini_full,8
28,therapist_gemini_harm,8
29,therapist_psych_material,8
30,therapist_char,9
31,therapist_gpt_limited,9
32,therapist_gemini_harm,9
33,therapist_psych_material,9
34,therapist_gpt_limited,10
35,therapist_gpt_full,10
36,therapist_gemini_harm,10
37,therapist_psych_material,10
38,therapist_char,11
39,therapist_gpt_full,11
40,therapist_gemini_full,11
41,therapist_psych_material,11
42,therapist_gpt_limited,12
43,therapist_gpt_full,12
44,therapist_gemini_harm,12
45,therapist_psych_material,12
46,therapist_char,13
47,therapist_gpt_limited,13
48,therapist_gemini_full,13
49,therapist_gemini_harm,13
50,therapist_psych_material,13
51,therapist_char,14
52,therapist_gpt_full,14
53,therapist_gemini_full,14
54,therapist_gemini_harm,14
55,therapist_psych_material,14
56,therapist_char,15
57,therapist_gpt_limited,15
58,therapist_gpt_full,15
59,therapist_gemini_full,15
60,therapist_psych_material,15
61,therapist_char,1
62,therapist_gpt_limited,1
63,therapist_gpt_full,1
64,therapist_gemini_full,1
65,therapist_gemini_harm,1
66,therapist_psych_material,1
67,therapist_char,2
68,therapist_gpt_limited,2
69,therapist_gpt_full,2
70,therapist_gemini_full,2
71,therapist_gemini_harm,2
72,therapist_psych_material,2
73,therapist_char,3
74,therapist_gpt_limited,3
75,therapist_gpt_full,3
76,therapist_gemini_full,3
77,therapist_gemini_harm,3
78,therapist_psych_material,3
79,therapist_char,4
80,therapist_gpt_limited,4
81,therapist_gpt_full,4
82,therapist_gemini_full,4
83,therapist_gemini_harm,4
84,therapist_psych_material,4
85,therapist_char,5
86,therapist_gpt_limited,5
87,therapist_gpt_full,5
88,therapist_gemini_full,5
89,therapist_gemini_harm,5
90,therapist_psych_material,5
91,therapist_char,6
92,therapist_gpt_limited,6
93,therapist_gpt_full,6
94,therapist_gemini_full,6
95,therapist_gemini_harm,6
96,therapist_psych_material,6
97,therapist_char,7
98,therapist_gpt_limited,7
99,therapist_gpt_full,7
100,therapist_gemini_full,7
101,therapist_gemini_harm,7
102,therapist_psych_material,7
103,therapist_char,8
104,therapist_gpt_limited,8
105,therapist_gpt_full,8
106,therapist_gemini_full,8
107,therapist_gemini_harm,8
108,therapist_psych_material,8
109,therapist_char,9
110,therapist_gpt_limited,9
111,therapist_gpt_full,9
112,therapist_gemini_full,9
113,therapist_gemini_harm,9
114,therapist_psych_material,9
115,therapist_char,10
116,therapist_gpt_limited,10
117,therapist_gpt_full,10
118,therapist_gemini_full,10
119,therapist_gemini_harm,10
120,therapist_psych_material,10
121,therapist_char,11
122,therapist_gpt_limited,11
123,therapist_gpt_full,11
124,therapist_gemini_full,11
125,therapist_gemini_harm,11
126,therapist_psych_material,11
127,therapist_char,12
128,therapist_gpt_limited,12
129,therapist_gpt_full,12
130,therapist_gemini_full,12
131,therapist_gemini_harm,12
132,therapist_psych_material,12
133,therapist_char,1
134,therapist_gpt_limited,1
135,therapist_gpt_full,1
136,therapist_gemini_full,1
137,therapist_gemini_harm,1
138,therapist_psych_material,1
139,therapist_char,2
140,therapist_gpt_limited,2
141,therapist_gpt_full,2
142,therapist_gemini_full,2
143,therapist_gemini_harm,2
144,therapist_psych_material,2
145,therapist_char,3
146,therapist_gpt_limited,3
147,therapist_gpt_full,3
148,therapist_gemini_full,3
149,therapist_gemini_harm,3
150,therapist_psych_material,3
151,therapist_gpt_full,1
152,therapist_gemini_harm,1
153,therapist_char,1
154,therapist_gemini_full,2
155,therapist_gpt_limited,2
156,therapist_gemini_harm,2
157,therapist_gpt_full,3
158,therapist_gemini_full,3
159,therapist_gpt_limited,3
160,therapist_char,4
161,therapist_gemini_full,4
162,therapist_gpt_full,5
163,therapist_gemini_harm,5
164,therapist_gpt_limited,6
165,therapist_char,6
166,therapist_gemini_harm,7
167,therapist_gpt_full,7
168,therapist_char,8
169,therapist_gpt_limited,8
170,therapist_gemini_full,9
171,therapist_gpt_full,9
172,therapist_char,10
173,therapist_gemini_full,10
174,therapist_gemini_harm,11
175,therapist_gpt_limited,11
176,therapist_gemini_full,12
177,therapist_char,12
178,therapist_gpt_full,13
179,therapist_gpt_limited,14
180,therapist_gemini_harm,15
