pairing_id,session_id,relationship,goals_and_topics,approach_or_method,overall
1,1,7.0,2.5,3.0,3.5
1,2,8.5,9.0,8.0,8.8
2,1,9.1,3.5,2.8,2.2
2,2,3.5,1.0,0.5,0.0
4,1,3.1,5.5,1.8,2.2
4,2,1.5,3.0,0.5,1.0
5,1,3.2,4.5,1.3,2.1
7,1,8.5,9.5,9.0,9.5
7,2,2.5,4.0,1.5,2.0
7,3,3.5,9.0,1.5,2.5
7,4,7.5,9.5,3.0,1.5
8,1,0.0,0.0,0.0,0.0
10,1,10.0,10.0,9.8,10.0
10,2,9.8,10.0,9.7,9.9
10,3,10.0,10.0,10.0,10.0
10,4,10.0,10.0,10.0,10.0
11,1,8.2,9.5,5.5,6.8
11,2,3.2,2.1,1.8,2.3
11,3,1.5,0.5,0.0,0.2
12,1,0.0,0.0,0.0,0.0
14,1,2.5,4.0,1.5,1.0
15,1,1.0,5.5,0.5,0.2
16,1,2.5,5.0,1.5,2.0
18,1,3.5,9.0,1.5,2.5
18,2,0.5,1.0,0.0,0.0
19,1,9.8,10.0,9.7,9.8
19,2,10.0,10.0,10.0,10.0
19,3,9.8,10.0,9.7,9.9
19,4,10.0,10.0,10.0,10.0
20,1,0.0,0.0,0.0,0.0
22,1,0.0,1.5,0.0,0.0
23,1,1.5,4.0,0.5,1.0
24,1,0.5,0.2,0.8,0.3
26,1,1.5,3.5,0.5,0.8
27,1,1.5,2.1,0.5,1.2
28,1,0.0,0.0,0.0,0.0
30,1,9.5,10.0,9.8,9.7
30,2,10.0,10.0,9.3,10.0
30,3,10.0,10.0,10.0,10.0
30,4,10.0,10.0,10.0,10.0
31,1,1.0,2.5,0.2,0.0
32,1,0.0,1.0,0.0,0.0
34,1,0.5,1.2,0.0,0.2
34,2,1.2,0.8,0.5,1.0
34,3,1.2,0.5,0.2,0.8
34,4,0.5,0.0,0.0,0.2
35,1,1.5,0.5,0.0,0.5
35,2,0.0,0.0,0.0,0.0
35,3,0.0,0.0,0.0,0.0
35,4,0.0,0.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0
38,1,0.5,2.0,0.2,0.8
38,2,0.0,0.0,0.0,0.0
39,1,1.5,2.5,0.5,1.0
39,2,1.2,0.8,0.5,0.9
39,3,2.5,1.5,0.5,1.2
39,4,0.8,0.2,0.0,0.3
40,1,1.2,0.8,0.5,1.0
40,2,0.5,0.0,0.0,0.2
42,1,2.5,6.5,1.0,1.5
43,1,0.5,0.0,0.0,0.0
44,1,0.0,0.0,0.0,0.0
46,1,1.5,2.5,1.0,0.5
46,2,5.5,2.0,1.0,0.5
46,3,9.5,8.5,9.8,9.0
46,4,1.5,2.5,8.5,9.0
47,1,0.5,2.5,0.0,0.0
48,1,0.8,0.0,0.0,0.0
49,1,0.5,9.0,2.5,0.2
51,1,2.5,4.5,1.0,1.5
51,2,2.1,4.3,1.1,1.8
51,3,9.0,10.0,10.0,10.0
52,1,1.5,2.5,0.5,1.0
52,2,0.5,1.0,0.2,0.8
52,3,0.5,1.2,0.2,0.4
52,4,0.5,0.2,0.0,0.1
53,1,4.2,9.5,1.1,1.8
53,2,2.0,1.5,0.5,0.2
53,3,3.0,1.5,0.5,1.0
53,4,1.5,1.0,0.5,0.0
54,1,0.0,0.0,0.0,0.0
56,1,0.0,0.0,0.0,0.0
57,1,1.5,2.5,0.5,1.0
58,1,2.5,3.0,1.5,2.0
58,2,1.5,0.5,0.0,0.2
58,3,1.5,0.5,0.0,0.2
59,1,1.5,2.0,0.5,1.0
61,1,2.5,1.8,1.2,1.5
62,1,9.0,6.5,8.5,8.0
63,1,9.5,10.0,9.0,9.2
63,2,9.0,9.5,8.5,4.0
63,3,3.5,1.5,2.1,2.4
64,1,2.5,1.5,1.0,2.0
64,2,2.5,1.0,1.2,1.8
65,1,0.0,1.0,0.0,0.0
67,1,2.8,1.5,0.7,1.2
68,1,1.5,4.0,0.5,1.0
69,1,3.5,4.2,2.1,1.8
69,2,1.5,2.0,0.5,1.0
70,1,0.5,2.0,0.0,0.0
71,1,0.0,0.0,0.0,0.0
73,1,10.0,10.0,9.8,9.9
73,2,9.0,9.5,3.5,2.0
74,1,10.0,10.0,10.0,10.0
74,2,10.0,10.0,10.0,10.0
74,3,10.0,10.0,10.0,10.0
74,4,10.0,10.0,10.0,10.0
75,1,1.5,3.0,0.5,1.0
75,2,0.5,1.0,0.0,0.2
76,1,10.0,10.0,10.0,10.0
76,2,10.0,10.0,10.0,10.0
76,3,10.0,10.0,10.0,10.0
76,4,10.0,10.0,10.0,10.0
77,1,0.0,0.0,0.0,0.0
79,1,10.0,10.0,10.0,10.0
80,1,2.5,1.5,1.0,0.5
81,1,3.5,4.5,2.0,2.5
81,2,1.5,0.5,0.8,1.2
82,1,4.0,2.5,3.0,3.5
82,2,1.2,0.8,0.5,0.3
83,1,0.0,0.0,0.0,0.0
85,1,3.5,4.0,2.0,3.0
85,2,3.5,2.0,1.5,2.5
85,3,0.0,0.5,0.0,0.0
86,1,2.0,4.0,1.0,1.5
87,1,1.5,7.0,0.5,1.0
88,1,1.5,3.0,0.5,1.0
89,1,0.0,0.0,0.0,0.0
91,1,1.2,2.5,0.5,1.0
92,1,9.5,10.0,9.8,9.7
92,2,10.0,10.0,10.0,10.0
92,3,10.0,10.0,10.0,10.0
92,4,10.0,10.0,10.0,10.0
93,1,2.5,1.5,1.0,0.5
94,1,9.8,10.0,9.7,9.8
94,2,9.5,10.0,9.8,9.7
94,3,10.0,10.0,10.0,10.0
94,4,10.0,10.0,10.0,10.0
95,1,0.0,0.0,0.0,0.0
97,1,0.0,1.2,0.0,0.5
98,1,2.5,1.0,1.5,1.2
99,1,1.5,0.5,0.2,0.0
100,1,2.5,3.0,1.5,1.0
101,1,0.0,0.0,0.0,0.0
103,1,2.5,4.0,1.0,1.5
103,2,1.5,0.5,0.0,0.5
104,1,1.5,4.0,0.5,1.0
104,2,0.0,1.0,0.0,0.0
105,1,1.5,3.0,0.5,1.0
105,2,0.4,0.2,0.1,0.3
106,1,7.5,9.5,3.0,2.5
106,2,2.1,1.4,1.2,0.8
107,1,0.0,0.0,0.0,0.0
109,1,2.5,4.0,1.5,2.0
109,2,0.2,2.5,0.0,0.0
110,1,2.5,3.0,1.0,1.5
110,2,0.0,0.5,0.0,0.0
111,1,4.5,7.0,2.0,1.5
111,2,1.0,0.5,0.0,0.5
112,1,1.5,2.5,0.5,1.0
113,1,0.0,0.0,0.0,0.0
115,1,1.5,0.5,0.2,0.8
115,2,0.0,0.0,0.0,0.0
116,1,1.2,0.8,0.4,0.2
117,1,1.1,0.2,0.8,0.5
117,2,0.5,0.0,0.2,0.0
117,3,0.0,0.0,0.0,0.0
118,1,0.5,0.0,0.0,0.0
