pairing_id,session_id,relationship,goals_and_topics,approach_or_method,overall,total
1,1,7.0,2.5,3.0,3.5,16.0
1,2,8.5,9.0,8.0,8.8,34.3
2,1,9.1,3.5,2.8,2.2,17.6
2,2,3.5,1.0,0.5,0.0,5.0
4,1,3.1,5.5,1.8,2.2,12.6
4,2,1.5,3.0,0.5,1.0,6.0
5,1,3.2,4.5,1.3,2.1,11.1
7,1,8.5,9.5,9.0,9.5,36.5
7,2,2.5,4.0,1.5,2.0,10.0
7,3,3.5,9.0,1.5,2.5,16.5
7,4,7.5,9.5,3.0,1.5,21.5
8,1,0.0,0.0,0.0,0.0,0.0
10,1,10.0,10.0,9.8,10.0,39.8
10,2,9.8,10.0,9.7,9.9,39.4
10,3,10.0,10.0,10.0,10.0,40.0
10,4,10.0,10.0,10.0,10.0,40.0
11,1,8.2,9.5,5.5,6.8,30.0
11,2,3.2,2.1,1.8,2.3,9.4
11,3,1.5,0.5,0.0,0.2,2.2
12,1,0.0,0.0,0.0,0.0,0.0
14,1,2.5,4.0,1.5,1.0,9.0
15,1,1.0,5.5,0.5,0.2,7.2
16,1,2.5,5.0,1.5,2.0,11.0
18,1,3.5,9.0,1.5,2.5,16.5
18,2,0.5,1.0,0.0,0.0,1.5
19,1,9.8,10.0,9.7,9.8,39.3
19,2,10.0,10.0,10.0,10.0,40.0
19,3,9.8,10.0,9.7,9.9,39.4
19,4,10.0,10.0,10.0,10.0,40.0
20,1,0.0,0.0,0.0,0.0,0.0
22,1,0.0,1.5,0.0,0.0,1.5
23,1,1.5,4.0,0.5,1.0,7.0
24,1,0.5,0.2,0.8,0.3,1.8
26,1,1.5,3.5,0.5,0.8,6.3
27,1,1.5,2.1,0.5,1.2,5.3
28,1,0.0,0.0,0.0,0.0,0.0
30,1,9.5,10.0,9.8,9.7,39.0
30,2,10.0,10.0,9.3,10.0,39.3
30,3,10.0,10.0,10.0,10.0,40.0
30,4,10.0,10.0,10.0,10.0,40.0
31,1,1.0,2.5,0.2,0.0,3.7
32,1,0.0,1.0,0.0,0.0,1.0
34,1,0.5,1.2,0.0,0.2,1.9
34,2,1.2,0.8,0.5,1.0,3.5
34,3,1.2,0.5,0.2,0.8,2.7
34,4,0.5,0.0,0.0,0.2,0.7
35,1,1.5,0.5,0.0,0.5,2.5
35,2,0.0,0.0,0.0,0.0,0.0
35,3,0.0,0.0,0.0,0.0,0.0
35,4,0.0,0.0,0.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0,0.0
38,1,0.5,2.0,0.2,0.8,3.5
38,2,0.0,0.0,0.0,0.0,0.0
39,1,1.5,2.5,0.5,1.0,5.5
39,2,1.2,0.8,0.5,0.9,3.4
39,3,2.5,1.5,0.5,1.2,5.7
39,4,0.8,0.2,0.0,0.3,1.3
40,1,1.2,0.8,0.5,1.0,3.5
40,2,0.5,0.0,0.0,0.2,0.7
42,1,2.5,6.5,1.0,1.5,11.5
43,1,0.5,0.0,0.0,0.0,0.5
44,1,0.0,0.0,0.0,0.0,0.0
46,1,1.5,2.5,1.0,0.5,5.5
46,2,5.5,2.0,1.0,0.5,9.0
46,3,9.5,8.5,9.8,9.0,36.8
46,4,1.5,2.5,8.5,9.0,21.5
47,1,0.5,2.5,0.0,0.0,3.0
48,1,0.8,0.0,0.0,0.0,0.8
49,1,0.5,9.0,2.5,0.2,12.2
51,1,2.5,4.5,1.0,1.5,9.5
51,2,2.1,4.3,1.1,1.8,9.3
51,3,9.0,10.0,10.0,10.0,39.0
52,1,1.5,2.5,0.5,1.0,5.5
52,2,0.5,1.0,0.2,0.8,2.5
52,3,0.5,1.2,0.2,0.4,2.3
52,4,0.5,0.2,0.0,0.1,0.8
53,1,4.2,9.5,1.1,1.8,16.6
53,2,2.0,1.5,0.5,0.2,4.2
53,3,3.0,1.5,0.5,1.0,6.0
53,4,1.5,1.0,0.5,0.0,3.0
54,1,0.0,0.0,0.0,0.0,0.0
56,1,0.0,0.0,0.0,0.0,0.0
57,1,1.5,2.5,0.5,1.0,5.5
58,1,2.5,3.0,1.5,2.0,9.0
58,2,1.5,0.5,0.0,0.2,2.2
58,3,1.5,0.5,0.0,0.2,2.2
59,1,1.5,2.0,0.5,1.0,5.0
61,1,2.5,1.8,1.2,1.5,7.0
62,1,9.0,6.5,8.5,8.0,32.0
63,1,9.5,10.0,9.0,9.2,37.7
63,2,9.0,9.5,8.5,4.0,31.0
63,3,3.5,1.5,2.1,2.4,9.5
64,1,2.5,1.5,1.0,2.0,7.0
64,2,2.5,1.0,1.2,1.8,6.5
65,1,0.0,1.0,0.0,0.0,1.0
67,1,2.8,1.5,0.7,1.2,6.2
68,1,1.5,4.0,0.5,1.0,7.0
69,1,3.5,4.2,2.1,1.8,11.6
69,2,1.5,2.0,0.5,1.0,5.0
70,1,0.5,2.0,0.0,0.0,2.5
71,1,0.0,0.0,0.0,0.0,0.0
73,1,10.0,10.0,9.8,9.9,39.7
73,2,9.0,9.5,3.5,2.0,24.0
74,1,10.0,10.0,10.0,10.0,40.0
74,2,10.0,10.0,10.0,10.0,40.0
74,3,10.0,10.0,10.0,10.0,40.0
74,4,10.0,10.0,10.0,10.0,40.0
75,1,1.5,3.0,0.5,1.0,6.0
75,2,0.5,1.0,0.0,0.2,1.7
76,1,10.0,10.0,10.0,10.0,40.0
76,2,10.0,10.0,10.0,10.0,40.0
76,3,10.0,10.0,10.0,10.0,40.0
76,4,10.0,10.0,10.0,10.0,40.0
77,1,0.0,0.0,0.0,0.0,0.0
79,1,10.0,10.0,10.0,10.0,40.0
80,1,2.5,1.5,1.0,0.5,5.5
81,1,3.5,4.5,2.0,2.5,12.5
81,2,1.5,0.5,0.8,1.2,4.0
82,1,4.0,2.5,3.0,3.5,13.0
82,2,1.2,0.8,0.5,0.3,2.8
83,1,0.0,0.0,0.0,0.0,0.0
85,1,3.5,4.0,2.0,3.0,12.5
85,2,3.5,2.0,1.5,2.5,9.5
85,3,0.0,0.5,0.0,0.0,0.5
86,1,2.0,4.0,1.0,1.5,8.5
87,1,1.5,7.0,0.5,1.0,10.0
88,1,1.5,3.0,0.5,1.0,6.0
89,1,0.0,0.0,0.0,0.0,0.0
91,1,1.2,2.5,0.5,1.0,5.2
92,1,9.5,10.0,9.8,9.7,39.0
92,2,10.0,10.0,10.0,10.0,40.0
92,3,10.0,10.0,10.0,10.0,40.0
92,4,10.0,10.0,10.0,10.0,40.0
93,1,2.5,1.5,1.0,0.5,5.5
94,1,9.8,10.0,9.7,9.8,39.3
94,2,9.5,10.0,9.8,9.7,39.0
94,3,10.0,10.0,10.0,10.0,40.0
94,4,10.0,10.0,10.0,10.0,40.0
95,1,0.0,0.0,0.0,0.0,0.0
97,1,0.0,1.2,0.0,0.5,1.7
98,1,2.5,1.0,1.5,1.2,6.2
99,1,1.5,0.5,0.2,0.0,2.2
100,1,2.5,3.0,1.5,1.0,8.0
101,1,0.0,0.0,0.0,0.0,0.0
103,1,2.5,4.0,1.0,1.5,9.0
103,2,1.5,0.5,0.0,0.5,2.5
104,1,1.5,4.0,0.5,1.0,7.0
104,2,0.0,1.0,0.0,0.0,1.0
105,1,1.5,3.0,0.5,1.0,6.0
105,2,0.4,0.2,0.1,0.3,1.0
106,1,7.5,9.5,3.0,2.5,22.5
106,2,2.1,1.4,1.2,0.8,5.5
107,1,0.0,0.0,0.0,0.0,0.0
109,1,2.5,4.0,1.5,2.0,10.0
109,2,0.2,2.5,0.0,0.0,2.7
110,1,2.5,3.0,1.0,1.5,8.0
110,2,0.0,0.5,0.0,0.0,0.5
111,1,4.5,7.0,2.0,1.5,15.0
111,2,1.0,0.5,0.0,0.5,2.0
112,1,1.5,2.5,0.5,1.0,5.5
113,1,0.0,0.0,0.0,0.0,0.0
115,1,1.5,0.5,0.2,0.8,3.0
115,2,0.0,0.0,0.0,0.0,0.0
116,1,1.2,0.8,0.4,0.2,2.6
117,1,1.1,0.2,0.8,0.5,2.6
117,2,0.5,0.0,0.2,0.0,0.7
117,3,0.0,0.0,0.0,0.0,0.0
118,1,0.5,0.0,0.0,0.0,0.5
118,2,0.0,0.0,0.0,0.0,0.0
119,1,0.0,0.0,0.0,0.0,0.0
121,1,1.5,2.5,0.5,1.0,5.5
122,1,1.5,3.0,0.5,1.0,6.0
122,2,0.5,1.0,0.0,0.0,1.5
123,1,1.5,0.8,1.1,0.5,3.9
123,2,2.0,1.0,0.5,0.8,4.3
123,3,1.8,1.2,0.5,0.8,4.3
123,4,0.5,0.0,0.2,0.1,0.8
124,1,2.5,3.0,1.2,1.5,8.2
124,2,0.5,1.2,0.2,0.8,2.7
125,1,0.0,0.5,0.0,0.0,0.5
127,1,1.0,4.5,0.5,0.8,6.8
127,2,0.0,0.2,0.0,0.0,0.2
128,1,0.8,2.5,0.2,0.4,3.9
129,1,0.8,1.5,0.2,0.5,3.0
130,1,1.5,3.0,0.5,1.0,6.0
131,1,0.0,0.0,0.0,0.0,0.0
133,1,2.5,3.0,1.5,2.0,9.0
133,2,9.5,10.0,9.2,9.6,38.3
133,3,9.5,10.0,9.0,9.5,38.0
134,1,7.8,7.2,5.5,6.5,27.0
134,2,2.5,1.8,1.2,0.8,6.3
135,1,8.5,6.0,4.5,3.0,22.0
135,2,3.5,2.0,2.5,2.0,10.0
136,1,6.5,2.5,1.8,2.2,13.0
136,2,2.0,1.0,1.5,1.2,5.7
137,1,0.0,0.0,0.0,0.0,0.0
139,1,2.5,9.0,1.5,2.0,15.0
140,1,2.5,4.0,1.2,1.0,8.7
141,1,4.0,7.5,1.5,2.0,15.0
141,2,1.2,0.8,0.5,0.7,3.2
142,1,2.1,4.5,1.2,1.8,9.6
142,2,0.5,1.2,0.0,0.2,1.9
142,3,0.1,1.5,0.0,0.2,1.8
143,1,0.0,0.0,0.0,0.0,0.0
145,1,10.0,10.0,10.0,10.0,40.0
145,2,10.0,10.0,10.0,10.0,40.0
145,3,10.0,10.0,10.0,10.0,40.0
145,4,10.0,10.0,10.0,10.0,40.0
146,1,9.5,10.0,9.8,9.7,39.0
146,2,0.2,2.5,0.1,0.0,2.8
147,1,2.4,1.8,1.1,0.9,6.2
147,2,0.8,2.2,0.1,0.5,3.6
148,1,9.8,10.0,9.7,10.0,39.5
148,2,9.8,10.0,9.7,9.9,39.4
148,3,10.0,10.0,10.0,10.0,40.0
148,4,9.8,10.0,9.7,9.8,39.3
149,1,0.0,0.0,0.0,0.0,0.0
151,1,3.5,5.0,2.0,2.5,13.0
151,2,4.5,2.0,1.5,2.5,10.5
151,3,2.5,1.5,1.0,1.8,6.8
152,1,0.0,0.0,0.0,0.0,0.0
153,1,9.8,10.0,9.7,9.9,39.4
153,2,9.8,10.0,9.7,9.9,39.4
153,3,10.0,10.0,10.0,10.0,40.0
153,4,10.0,10.0,10.0,10.0,40.0
154,1,2.5,1.5,1.0,0.5,5.5
155,1,1.2,2.1,0.8,1.4,5.5
156,1,0.0,0.0,0.0,0.0,0.0
157,1,9.8,10.0,9.9,10.0,39.7
157,2,1.5,4.0,0.5,1.0,7.0
158,1,9.5,10.0,9.7,9.8,39.0
158,2,2.5,1.0,0.5,0.8,4.8
159,1,10.0,10.0,10.0,10.0,40.0
159,2,10.0,10.0,10.0,10.0,40.0
