pairing_id,session_id,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,question19,question20,question21,question22,question23,question24,question25,question26,question27,question28,question29,question30,question31,question32,question33,question34,question35,question36,total_wai_task,total_wai_bond,total_wai_goal,composite_wai
1,1,Often,Never,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Often,Always,Very Often,Always,Occasionally,Never,Very Often,Never,Often,Very Often,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Often,Very Often,Never,Sometimes,28,41,20,89
1,2,Sometimes,Never,Never,Never,Rarely,Never,Sometimes,Often,Rarely,Often,Very Often,Very Often,Often,Never,Always,Never,Often,Often,Often,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Always,Never,Never,Never,Sometimes,Never,Often,Sometimes,Never,Often,29,47,29,105
2,1,Rarely,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Rarely,Always,Very Often,Often,Often,Never,Often,Never,Sometimes,Very Often,Often,Never,Never,Never,Rarely,Never,Never,Rarely,Always,Never,Never,Never,Often,Never,Often,Never,Never,Sometimes,34,45,32,111
2,2,Often,Never,Never,Never,Rarely,Always,Never,Sometimes,Never,Always,Always,Very Often,Sometimes,Never,Very Often,Never,Occasionally,Always,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Always,Never,Never,Never,Very Often,Never,Very Often,Never,Never,Rarely,30,37,37,104
4,1,Often,Never,Often,Rarely,Never,Never,Often,Sometimes,Very Often,Often,Very Often,Very Often,Never,Never,Often,Never,Often,Occasionally,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Very Often,Never,Never,Never,Very Often,Never,Often,Always,Never,Sometimes,23,35,19,77
4,2,Always,Never,Always,Never,Never,Never,Often,Rarely,Always,Very Often,Always,Always,Never,Never,Very Often,Never,Rarely,Often,Rarely,Very Often,Never,Never,Never,Never,Never,Never,Always,Sometimes,Never,Never,Always,Never,Very Often,Always,Never,Rarely,20,20,13,53
5,1,Often,Never,Always,Never,Never,Rarely,Very Often,Sometimes,Very Often,Often,Always,Always,Never,Sometimes,Often,Never,Often,Never,Occasionally,Rarely,Never,Never,Occasionally,Rarely,Never,Never,Very Often,Never,Never,Never,Always,Never,Very Often,Always,Never,Often,17,40,20,77
7,1,Often,Always,Occasionally,Always,Always,Always,Never,Often,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Very Often,Always,Always,Always,Rarely,Always,Never,Often,Never,Always,Never,Never,Always,Always,84,65,79,228
7,2,Very Often,Often,Always,Always,Very Often,Often,Occasionally,Sometimes,Rarely,Rarely,Never,Never,Very Often,Always,Never,Rarely,Often,Very Often,Often,Never,Rarely,Often,Sometimes,Very Often,Very Often,Often,Never,Always,Never,Occasionally,Very Often,Very Often,Never,Very Often,Sometimes,Often,64,47,61,172
7,3,Often,Occasionally,Always,Very Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Often,Very Often,Very Often,Always,Never,Never,Very Often,Always,Very Often,Sometimes,Rarely,Sometimes,Often,Always,Rarely,Sometimes,Often,Always,Never,Rarely,Always,Very Often,Sometimes,Very Often,Never,Always,49,45,40,134
7,4,Very Often,Sometimes,Always,Always,Always,Often,Often,Rarely,Often,Sometimes,Often,Never,Very Often,Always,Never,Never,Occasionally,Always,Sometimes,Often,Never,Often,Rarely,Always,Never,Rarely,Never,Always,Never,Occasionally,Always,Often,Often,Always,Never,Sometimes,50,32,49,131
8,1,Always,Never,Always,Never,Never,Never,Always,Never,Always,Always,Always,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Never,Always,Never,Always,Never,Always,Always,Never,Never,12,30,18,60
10,1,Never,Always,Never,Never,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Never,Always,Always,Always,Never,Always,Always,Always,Always,Never,Always,Never,Often,Never,Always,Never,Never,Never,Never,Always,Always,72,74,72,218
10,2,Never,Always,Never,Never,Always,Always,Never,Always,Never,Never,Never,Never,Always,Always,Never,Always,Always,Always,Always,Never,Always,Always,Always,Always,Never,Always,Never,Often,Never,Always,Never,Always,Never,Never,Always,Always,78,74,78,230
